concept_id,placement,art_source,target_mm,default_method,thread_order,notes,status
GP-11,left,source-art/branching-path.svg,31x17,flat satin,"burgundy",Keep open node centers,digitizer_required
GP-11,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"dark forest; burgundy",Single small wordmark centered above opening; no circuit leaf or arch slogan,digitizer_required
GP-11,rope,custom text-bearing rope,n/a,manufacturer-specific,"burgundy rope; light stone text","Exact text: FOR GROWS, SOIL, TOOLS, COURSES, AND COMMUNITY. No production claim until legibility durability and method pass a physical sample.",manufacturer_confirmation_required
GP-12,front,source-art/circuit-leaf.svg,46x45,flat tonal satin,"darker burnt orange",Owner-approved unchanged circuit leaf at the source emblem footprint; no frame triangle bag wording or ornament,digitizer_required
GP-12,right,source-art/gpai-monogram.svg,34x14,flat tonal satin,"darker burnt orange",Owner-approved small side mark at the source manufacturer-mark scale,digitizer_required
GP-12,left,source-art/branching-path.svg,31x17,flat tonal satin,"darker burnt orange",Use only if the unseen left-side production layout is owner-approved; do not infer from the front preview,owner_approval_required
GP-12,back,source-art/growpathai-wordmark.svg,42x7,flat tonal satin,"darker burnt orange",Use only if the unseen rear production layout is owner-approved; do not infer from the front preview,owner_approval_required
GP-13,front,source-art/circuit-leaf.svg plus source-art/growpathai-wordmark.svg,88x52,embroidered or woven patch,"circuit lime; green; yellow; signal red",Owner-approved source-scale black rectangular patch with rasta border; unchanged circuit leaf above wordmark; no third-party mark or slogan,digitizer_required
GP-13,right,source-art/gpai-monogram.svg,34x14,flat satin,"antique gold",Replace the source RAW patch at the same small side scale; no third-party mark,digitizer_required
GP-13,brim edge,custom red/yellow/green piping,n/a,manufacturer-specific,"green; yellow; signal red",Preserve the thin source brim-edge rhythm; repeatability and durability proof required,manufacturer_confirmation_required
GP-14,front,source-art/prism-terrain-patch.svg,58x51,woven patch preferred,"forest; stone; GrowPath blue; circuit lime",Use real BLV600 camo fabric; no invented all-over print,digitizer_required
GP-15,front,source-art/growpathai-wordmark.svg,108x29,flat satin,"white; GrowPath blue",Convert lettering to curves; BLV603 micro corduroy topper required,digitizer_required
GP-16,front,source-art/growpathai-script.svg,105x29,flat satin,"white; signal red",Convert approved script to curves; no team or seed-brand imitation,digitizer_required
GP-17,front,source-art/circuit-leaf.svg,46x45,flat satin,"white outer leaf/stem; signal-red internal paths and nodes",Emblem-only front; no wordmark; preserve open node centers,digitizer_required
GP-17,right,source-art/gpai-monogram.svg,34x14,flat satin,"signal red; white",Small side mark from approved reference,digitizer_required
GP-17,left,source-art/branching-path.svg,31x17,flat satin,"signal red; white",Keep open node centers,digitizer_required
GP-17,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"signal red; white",Single small wordmark centered above opening,digitizer_required
